,HOP_TOTAL_AMOUNT_USD_BRIDGED,BSC_AGE_DAY,BSC_TX_COUNT,TOTAL_SWAP_AMOUNT_USD,AVERAGE_SWAP_AMOUNT_USD_PER_TX,MEDIAN_SWAP_AMOUNT_USD_PER_TX,UNISWAP_SWAP_VOLUME,CURVE_SWAP_VOLUME,OTHER_SWAP_VOLUME,SWAP_DAYS_ACTIVE,SWAP_TX_COUNT,ETH_AGE_DAY,ETH_TX_COUNT,AVALANCHE_AGE_DAY,AVALANCHE_TX_COUNT,OPTIMISM_AGE_DAY,OPTIMISM_TX_COUNT,ARBITRUM_AGE_DAY,ARBITRUM_TX_COUNT,POLYGON_AGE_DAY,POLYGON_TX_COUNT,TOTAL_AMOUNT_USD_BRIDGED,ETH_AMOUNT_USD_BRIDGED,OPTIMISM_AMOUNT_USD_BRIDGED,ARBITRUM_AMOUNT_USD_BRIDGED,AVALANCHE_AMOUNT_USD_BRIDGED,BSC_AMOUNT_USD_BRIDGED,POLYGON_AMOUNT_USD_BRIDGED,BRIDGES_USED
HOP_TOTAL_AMOUNT_USD_BRIDGED,1.0,0.002110331064281349,0.0007926297781427312,0.05821262264325916,0.01216229044597534,0.00872306283365158,0.030377551358532096,0.06966476827136453,0.03295027522798298,0.032779980856889046,0.005131507580222192,0.01779615001970289,0.004527711420005296,0.008114588114177694,0.0013252777423699918,0.025149330143332534,0.010753459810580634,0.02086350039936279,0.015522238440080813,0.01223909709740063,0.005828191447462374,0.1671380438387633,0.1723513932491548,0.21355331716072126,0.08320208497719221,0.04491561003316877,0.11285174562227007,0.0825536577435551,0.03819619839215013
BSC_AGE_DAY,0.002110331064281349,1.0,0.047161948404489,0.014691767849030127,-0.0027250461501616115,-0.005501656861384266,0.014449879920778631,0.007121436288550299,0.016727638625340737,0.3706423338061069,0.030765044452472873,0.46760476119666455,0.0007909028284775368,0.42624777686136367,0.02690744046592881,0.2341881825056194,0.006811218869214869,0.19950981356334582,0.010143557211211665,0.5656696109515088,0.04046128821204151,0.01246276510844959,0.008266983581200735,0.010123859185940989,0.007303972413143998,0.01268516864035841,0.014911462892295052,0.011792622293863143,0.2884815929635028
BSC_TX_COUNT,0.0007926297781427312,0.047161948404489,1.0,0.004676607853249794,-2.7352196413352723e-05,-0.00018102952252097593,0.0035826584953372,0.002089260727202484,0.006940586593400701,0.04793405476573855,0.08113140795197878,0.02574951593854979,0.1892297241478333,0.030088082045664134,0.4483717594690227,0.010496685651577685,0.2225801577399506,0.010125402065513565,0.322533405575942,0.030895819203394757,0.3717731731303003,0.004939999616030842,0.002492782543816931,0.007316071187367204,0.004659974291939064,0.004863635772263592,0.008273932446052871,0.004228825912097904,0.021999744695956815
TOTAL_SWAP_AMOUNT_USD,0.05821262264325916,0.014691767849030127,0.004676607853249794,1.0,0.10876601680148246,0.059846849345978316,0.7576148900397677,0.8415239726464631,0.8445756702332863,0.1272183009212378,0.20358048724640457,0.033911745983474545,0.013745178768333222,0.02542261309462368,0.055499339065610685,0.019067803088015603,0.020578812865833136,0.012828412847982902,0.007798884878611413,0.0177420353825873,0.048629847164466514,0.2747834305673235,0.3030581895492768,0.07343991276506971,0.12941216299334304,0.16827852011086203,0.140566546437366,0.07798162654334401,0.034849681693673126
AVERAGE_SWAP_AMOUNT_USD_PER_TX,0.01216229044597534,-0.0027250461501616115,-2.7352196413352723e-05,0.10876601680148246,1.0,0.9438357519388644,0.0381769215966542,0.15114202447810343,0.05117317270780426,0.0125057493779256,0.001332721173176722,0.020845154576545916,0.0005045682315196515,0.005183754983948356,0.00046364188829678063,-0.003017291474550347,-0.0002944025802552498,-0.002318183402455157,-0.00018441011870924245,-0.007727219121744969,-0.0005966280192249702,0.1324971576658977,0.1733713233127635,0.024870162121039707,0.024718391111439846,0.024700189041436543,0.04618010368585009,0.012347477122151722,0.007235226138906244
MEDIAN_SWAP_AMOUNT_USD_PER_TX,0.00872306283365158,-0.005501656861384266,-0.00018102952252097593,0.059846849345978316,0.9438357519388644,1.0,0.01692835964396505,0.08766285991833624,0.02604922395097834,0.0005399078123848549,0.00018000947778710544,0.008747723794825817,3.9610930624289255e-05,-0.002373854867803798,-0.0002554275615948778,-0.006249165190226626,-0.00027020403695036455,-0.004217079817815325,-0.0002093421505133385,-0.010821977123859797,-0.0007024643203328919,0.07851056236617564,0.1013987054938178,0.010782785093078921,0.011900702164670575,0.012396380474953972,0.03835747846978888,0.006026374379850871,-0.00010227985781838337
UNISWAP_SWAP_VOLUME,0.030377551358532096,0.014449879920778631,0.0035826584953372,0.7576148900397677,0.0381769215966542,0.01692835964396505,1.0,0.3514099162843022,0.5570501959527895,0.12731380410401089,0.25478457159249013,0.03817478784839863,0.019084928355136564,0.022288402157118425,0.05760847130722481,0.018769182806606895,0.01831270314336227,0.012326289657452128,0.007737488521371947,0.0164156009812027,0.0389237890879221,0.10993832628942651,0.11766103559450468,0.034878143796212756,0.06571276321267143,0.06897063021625767,0.0607319248825181,0.03282986115865341,0.02928276144324551
CURVE_SWAP_VOLUME,0.06966476827136453,0.007121436288550299,0.002089260727202484,0.8415239726464631,0.15114202447810343,0.08766285991833624,0.3514099162843022,1.0,0.6021458463065442,0.06958628552241858,0.025109200021017845,0.016604337044492986,0.005266266837596135,0.012737170893504393,0.0050466109802478195,0.011090958014493082,0.00036604266992515665,0.0069760414078905335,0.0014229121360364507,0.008781499318420833,0.005718063229822339,0.3110115172196819,0.3629292460746353,0.06721633922615179,0.11937436087182383,0.16044992584182347,0.13163574085940719,0.07331713372304022,0.020945401602551407
OTHER_SWAP_VOLUME,0.03295027522798298,0.016727638625340737,0.006940586593400701,0.8445756702332863,0.05117317270780426,0.02604922395097834,0.5570501959527895,0.6021458463065442,1.0,0.12894517901214103,0.2820388330816266,0.0320629283381498,0.010708284263932546,0.03179647026376421,0.09527140259815864,0.018644263956499246,0.04177275224989704,0.013735821804806087,0.012677101747939476,0.021247323730004656,0.09637758004214375,0.22844891445265403,0.22380909547474526,0.08011686678030532,0.13411392261987937,0.18722489189756839,0.15627473418315257,0.08733996490471947,0.03949719485273244
SWAP_DAYS_ACTIVE,0.032779980856889046,0.3706423338061069,0.04793405476573855,0.1272183009212378,0.0125057493779256,0.0005399078123848549,0.12731380410401089,0.06958628552241858,0.12894517901214103,1.0,0.16255899045971378,0.4430206222162918,0.015309661347336844,0.40495973355810916,0.09361913512853491,0.3076143113295873,0.03169825093797771,0.24986699439966234,0.0339413741914303,0.3971340203494999,0.1340660278630058,0.04887599660030075,0.03480499661621351,0.06549619261366983,0.046301122078725235,0.05171433301523077,0.04226557397059281,0.036685600467464094,0.4394746919987209
